Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
301;2.590738051316514;42679;40857.75385464015;;1.0;-0.8520775211013091;0.5234156073655505;0.4520722039323037;-0.8919813464595487;0.081676395330423;0.99665890175417;-0.5912614448635792;-0.806479946320944;0.9259247771938506;0.3777079652039631;-0.9866579328916568;0.1628070129385176;0.7554933140726793;-0.6551563572090864;-0.3008198076356654;0.9536809966304464;-0.2428497220959385;-0.9700639218515064
308;2.6509877734401543;40741;42764.49630175023;;1.0;-0.8820480249558537;0.4711595076738638;0.5560174366570446;-0.8311706263658079;-0.0988201387328716;0.9951053111006976;-0.3816892202666588;-0.9242907221930932;0.7721565844991647;0.635432300890177;-0.980469160361632;-0.1966728897935766;0.9574851883550396;-0.2884824328806077;-0.70862667826446;0.7055836101071775;0.292600335633348;-0.9562348265919056
315;2.711237495563794;48200;45455.56766843373;;1.0;-0.9088176373395028;0.4171936026123168;0.6518989958787125;-0.7583058084785625;-0.2760969730974695;0.9611297838723004;-0.1500553983446528;-0.9886775902323404;0.5488429582847202;0.8359254794186363;-0.8475409228928303;-0.5307300481619346;0.99167731989929;0.1287481774525813;-0.9549667548552552;0.2967128192734906;0.7441039398713598;-0.6680638642135345
322;2.771487217687434;44816;49273.28856277758;;1.0;-0.9322892131745132;0.3617137307297676;0.7383263540031063;-0.6744436188329457;-0.4443781781046138;0.8958392907349086;0.0902516100310404;-0.9959189961471792;0.2760969730974704;0.9611297838723004;-0.6050560696488483;-0.7961828637826162;0.8520775211013093;0.5234156073655502;-0.98370929377361;-0.1797665857255609;0.982125605868;-0.1882267098432463
329;2.8317369398110737;56457;54425.84147220975;;1.0;-0.9523775757303974;0.3049212246562893;0.8140460935082175;-0.5808002734538013;-0.5981809144059165;0.8013610881746764;0.3253420847119792;-0.9455963874271428;-0.02151609743622;0.9997685019798908;-0.2843591872810032;-0.9587178169872964;0.5631507242749193;0.826354198723909;-0.7883050558305267;-0.6152845999633262;0.9383773917408652;0.3456123126707304
336;2.891986661934714;64076;60887.880988887264;;1.0;-0.9690098257244062;0.2470221804809355;0.8779600847008883;-0.4787338401157883;-0.7324940716135787;0.6807734094770164;0.5416278206559817;-0.840618405634478;-0.3171912885891069;0.9483615800121712;0.0730951298980772;-0.9973249731081556;0.1755314904214261;0.9844738167520926;-0.4132786077829034;-0.9106046300942164;0.6254105729852466;0.7802958510707753
343;2.9522363840583536;73050;68340.48354977484;;1.0;-0.9821256058680006;0.1882267098432442;0.9291414114031744;-0.3697245428906732;-0.8429415373547826;0.5380051715383001;0.7266075247685656;-0.687052767223667;-0.5842981736283688;0.8115390590073608;0.4211008707960887;-0.9070138128026364;-0.2428497220959369;0.9700639218515068;0.0559169901006031;-0.9984354211555644;0.1330147065341972;0.9911140639934544
350;3.012486106181993;77433;76168.87024404197;;1.0;-0.99167731989929;0.1287481774525813;0.9668478136052772;-0.2553532951161881;-0.9259247771938496;0.3777079652039655;0.8695893893466099;-0.4937755501599791;-0.7987793728863628;0.6016240632249255;0.7146733860429599;-0.6994583270516481;-0.6186714032625011;0.7856498550787162;0.5123714121284199;-0.8587639582758052;-0.3975428142825505;0.917583626059396
357;3.072735828305633;64816;83524.90793983711;;1.0;-0.9976303053065856;0.06880242680232;0.9905324521322229;-0.1372787721132651;-0.978740079966915;0.2051044998686202;0.9623090774541484;-0.2719581575341063;-0.9413173175128468;0.3375228995941138;0.9158642882672864;-0.4014879892059749;-0.886070621534138;0.4635502709028509;0.8520775211013084;-0.5234156073655516;-0.814046093508216;0.5808002734538035
364;3.132985550429273;72877;89447.70954802736;;1.0;-0.9999629591162656;0.0086069968886886;0.9998518392091162;-0.0172133561558352;-0.9996666485105112;0.0258184402271342;0.9994074007397048;-0.0344216116227469;-0.99907411510223;0.0430222330045315;0.9986668162884758;-0.0516196672232564;-0.9981855344718584;0.0602132773657937;0.9976303053065856;-0.0688024268023222;-0.9970011699250148;0.077386479233467
371;3.193235272552913;105375;93022.57595212596;;1.0;-0.998666816288476;-0.0516196672232538;0.9946708199115212;0.1031016974474349;-0.9880226656636976;-0.1543088206642812;0.9787400799669153;0.2051044998686194;-0.9668478136052776;-0.2553532951161872;0.9523775757303974;0.3049212246562893;-0.9353679493131476;-0.3536761221763735;0.915864288267287;0.4014879892059734;-0.8939185965192576;-0.4482293417404094
378;3.253484994676553;110588;93548.88807929822;;1.0;-0.993746580436178;-0.1116590071216944;0.9750645322571948;0.2219215130041654;-0.9441875088341994;-0.3294084822245299;0.901501684131884;0.432775592550431;-0.8475409228928303;-0.5307300481619346;0.782980103677063;0.6220467484408673;-0.7086266782644612;-0.7055836101071763;0.6254105729852466;0.7802958510707753;-0.5343725582809778;-0.8452490573530638
385;3.313734716800193;104374;90683.58032826285;;1.0;-0.9852201067560606;-0.1712931441814778;0.9413173175128468;0.3375228995941138;-0.8695893893466103;-0.4937755501599784;0.7721565844991635;0.6354323008901783;-0.6518989958787118;-0.7583058084785631;0.5123714121284213;0.8587639582758043;-0.3576982388331248;-0.9338372288229254;0.1924515819708276;0.9813064702716098;-0.0215160974362182;-0.999768501979891
392;3.3739844389238325;90123;84529.61120759598;;1.0;-0.973118337233262;-0.2303056702306119;0.8939185965192572;0.4482293417404102;-0.7666588193001597;-0.642054713236563;0.5981809144059171;0.801361088174676;-0.3975428142825554;-0.917583626059394;0.1755314904214296;0.984473816752092;0.0559169901005996;-0.9984354211555644;-0.2843591872810016;0.958717816987297;0.4975132889071801;-0.8674563547295971
